imgid,image_path,image_filename,timestamp,x_enu_m,y_enu_m,z_enu_m,lat,lon,alt,quality_status,quality_error,image_width,image_height,brightness_mean,contrast_std,blur_score_laplacian_var,orb_keypoints,is_low_blur_score,is_low_feature_count,is_low_contrast,weak_frame_candidate
1,data/raw/zurich_mav_sample/MAV_Images/00001.jpg,00001.jpg,7009129,0.0,0.0,0.0,47.3843571,8.5451784,464.91,ok,,1920,1080,115.9671305941358,62.250254379992384,447.5584996294167,1000,True,False,False,True
2,data/raw/zurich_mav_sample/MAV_Images/00002.jpg,00002.jpg,7042462,0.0,0.0,0.0,47.3843571,8.5451784,464.91,ok,,1920,1080,115.43197193287037,62.136284177750696,436.2555922926632,1000,True,False,False,True
3,data/raw/zurich_mav_sample/MAV_Images/00003.jpg,00003.jpg,7075795,0.0,0.0,0.0,47.3843571,8.5451784,464.91,ok,,1920,1080,114.8741473765432,62.2701778728861,479.4219986700526,1000,True,False,False,True
4,data/raw/zurich_mav_sample/MAV_Images/00004.jpg,00004.jpg,7109128,0.0,0.0,0.0,47.3843571,8.5451784,464.91,ok,,1920,1080,114.54390528549382,62.47362234569539,554.7622789528646,1000,True,False,False,True
5,data/raw/zurich_mav_sample/MAV_Images/00005.jpg,00005.jpg,7142461,0.0,0.0,0.0,47.3843571,8.5451784,464.91,ok,,1920,1080,114.6809341242284,62.161952450675415,472.0240579458064,1000,True,False,False,True
6,data/raw/zurich_mav_sample/MAV_Images/00006.jpg,00006.jpg,7175794,0.0,0.0,0.0,47.3843571,8.5451784,464.91,ok,,1920,1080,114.64290027006173,62.3433546008292,442.1638261661808,1000,True,False,False,True
7,data/raw/zurich_mav_sample/MAV_Images/00007.jpg,00007.jpg,7206967,0.0137972316588275,-0.2223553406074643,0.2539999999999622,47.3843551,8.5451786,465.164,ok,,1920,1080,114.33556712962962,62.55097739583079,549.3321049490327,1000,True,False,False,True
8,data/raw/zurich_mav_sample/MAV_Images/00008.jpg,00008.jpg,7240300,0.0137972316588275,-0.2223553406074643,0.2539999999999622,47.3843551,8.5451786,465.164,ok,,1920,1080,114.58073929398148,62.00639588047481,387.7867121082699,1000,True,False,False,True
9,data/raw/zurich_mav_sample/MAV_Images/00009.jpg,00009.jpg,7273633,0.0137972316588275,-0.2223553406074643,0.2539999999999622,47.3843551,8.5451786,465.164,ok,,1920,1080,114.5957846257716,62.40407558308625,415.6847419701847,1000,True,False,False,True
10,data/raw/zurich_mav_sample/MAV_Images/00010.jpg,00010.jpg,7306966,0.0137972316588275,-0.2223553406074643,0.2539999999999622,47.3843551,8.5451786,465.164,ok,,1920,1080,114.74646749614197,62.745754233239055,482.5686104113862,1000,True,False,False,True
11,data/raw/zurich_mav_sample/MAV_Images/00011.jpg,00011.jpg,7340299,0.0137972316588275,-0.2223553406074643,0.2539999999999622,47.3843551,8.5451786,465.164,ok,,1920,1080,114.9811680169753,62.78211072578811,488.56251682990353,1000,True,False,False,True
12,data/raw/zurich_mav_sample/MAV_Images/00012.jpg,00012.jpg,7373632,0.0137972316588275,-0.2223553406074643,0.2539999999999622,47.3843551,8.5451786,465.164,ok,,1920,1080,115.04112895447531,62.79953833050104,478.27814419692686,1000,True,False,False,True
13,data/raw/zurich_mav_sample/MAV_Images/00013.jpg,00013.jpg,7402809,0.0577858510077931,-0.4448870597407222,0.5679999999999836,47.3843531,8.5451792,465.478,ok,,1920,1080,115.1111824845679,62.92612360364129,513.3684067451096,1000,True,False,False,True
14,data/raw/zurich_mav_sample/MAV_Images/00014.jpg,00014.jpg,7436142,0.0577858510077931,-0.4448870597407222,0.5679999999999836,47.3843531,8.5451792,465.478,ok,,1920,1080,115.1996127507716,63.11160399773694,597.9690449757176,1000,True,False,False,True
15,data/raw/zurich_mav_sample/MAV_Images/00015.jpg,00015.jpg,7469475,0.0577858510077931,-0.4448870597407222,0.5679999999999836,47.3843531,8.5451792,465.478,ok,,1920,1080,115.34826581790124,63.14829918143517,618.6141203209396,1000,True,False,False,True
16,data/raw/zurich_mav_sample/MAV_Images/00016.jpg,00016.jpg,7502808,0.0577858510077931,-0.4448870597407222,0.5679999999999836,47.3843531,8.5451792,465.478,ok,,1920,1080,115.14719569830247,63.10351059473106,621.8044005591605,1000,True,False,False,True
17,data/raw/zurich_mav_sample/MAV_Images/00017.jpg,00017.jpg,7536141,0.0577858510077931,-0.4448870597407222,0.5679999999999836,47.3843531,8.5451792,465.478,ok,,1920,1080,114.5697299382716,62.909668115512396,555.2471535069166,1000,True,False,False,True
18,data/raw/zurich_mav_sample/MAV_Images/00018.jpg,00018.jpg,7569474,0.0577858510077931,-0.4448870597407222,0.5679999999999836,47.3843531,8.5451792,465.478,ok,,1920,1080,114.1190379050926,62.76550519958717,563.0857890498015,1000,True,False,False,True
19,data/raw/zurich_mav_sample/MAV_Images/00019.jpg,00019.jpg,7599573,0.1168052448192611,-0.6786203216761351,0.940999999999974,47.384351,8.54518,465.851,ok,,1920,1080,113.49831018518519,62.73698078290103,578.477566319143,1000,True,False,False,True
20,data/raw/zurich_mav_sample/MAV_Images/00020.jpg,00020.jpg,7632906,0.1168052448192611,-0.6786203216761351,0.940999999999974,47.384351,8.54518,465.851,ok,,1920,1080,113.23895881558641,62.51692946529412,552.1072901520339,1000,True,False,False,True
21,data/raw/zurich_mav_sample/MAV_Images/00021.jpg,00021.jpg,7666239,0.1168052448192611,-0.6786203216761351,0.940999999999974,47.384351,8.54518,465.851,ok,,1920,1080,113.20842496141975,62.44096772652522,490.44949527813753,1000,True,False,False,True
22,data/raw/zurich_mav_sample/MAV_Images/00022.jpg,00022.jpg,7699572,0.1168052448192611,-0.6786203216761351,0.940999999999974,47.384351,8.54518,465.851,ok,,1920,1080,112.76250434027777,62.56744040937178,611.3312518384873,1000,True,False,False,True
23,data/raw/zurich_mav_sample/MAV_Images/00023.jpg,00023.jpg,7732905,0.1168052448192611,-0.6786203216761351,0.940999999999974,47.384351,8.54518,465.851,ok,,1920,1080,113.15715856481482,62.55579613036194,613.2758975123445,1000,True,False,False,True
24,data/raw/zurich_mav_sample/MAV_Images/00024.jpg,00024.jpg,7766238,0.1168052448192611,-0.6786203216761351,0.940999999999974,47.384351,8.54518,465.851,ok,,1920,1080,113.21647280092593,62.588942455129065,545.1189153888445,1000,True,False,False,True
25,data/raw/zurich_mav_sample/MAV_Images/00025.jpg,00025.jpg,7798438,0.1311867880285717,-0.8009554445743561,1.336999999999989,47.3843499,8.5451802,466.247,ok,,1920,1080,113.44109760802469,62.57915138379254,541.8041328732133,1000,True,False,False,True
26,data/raw/zurich_mav_sample/MAV_Images/00026.jpg,00026.jpg,7831771,0.1311867880285717,-0.8009554445743561,1.336999999999989,47.3843499,8.5451802,466.247,ok,,1920,1080,113.68870852623456,62.34529736090442,473.33747259836474,1000,True,False,False,True
27,data/raw/zurich_mav_sample/MAV_Images/00027.jpg,00027.jpg,7865104,0.1311867880285717,-0.8009554445743561,1.336999999999989,47.3843499,8.5451802,466.247,ok,,1920,1080,113.7599932484568,62.45094900014309,496.53319411430033,1000,True,False,False,True
28,data/raw/zurich_mav_sample/MAV_Images/00028.jpg,00028.jpg,7898437,0.1311867880285717,-0.8009554445743561,1.336999999999989,47.3843499,8.5451802,466.247,ok,,1920,1080,113.71675009645061,62.594278171633114,590.3484275492912,1000,True,False,False,True
29,data/raw/zurich_mav_sample/MAV_Images/00029.jpg,00029.jpg,7931770,0.1311867880285717,-0.8009554445743561,1.336999999999989,47.3843499,8.5451802,466.247,ok,,1920,1080,113.6924821566358,62.79989198598326,625.1192998349164,1000,True,False,False,True
30,data/raw/zurich_mav_sample/MAV_Images/00030.jpg,00030.jpg,7965103,0.1311867880285717,-0.8009554445743561,1.336999999999989,47.3843499,8.5451802,466.247,ok,,1920,1080,113.87850115740741,62.93070091046322,707.8073478315541,1000,True,False,False,True
31,data/raw/zurich_mav_sample/MAV_Images/00031.jpg,00031.jpg,7988182,0.3576222006231546,-0.8022782457992435,1.4139999999999873,47.3843499,8.5451832,466.324,ok,,1920,1080,113.93135271990741,62.96374599585884,668.9863750520931,1000,True,False,False,True
32,data/raw/zurich_mav_sample/MAV_Images/00032.jpg,00032.jpg,8021515,0.3576222006231546,-0.8022782457992435,1.4139999999999873,47.3843499,8.5451832,466.324,ok,,1920,1080,113.9144637345679,62.925541648561826,617.286931456915,1000,True,False,False,True
33,data/raw/zurich_mav_sample/MAV_Images/00033.jpg,00033.jpg,8054848,0.3576222006231546,-0.8022782457992435,1.4139999999999873,47.3843499,8.5451832,466.324,ok,,1920,1080,113.99569444444444,62.985853796944696,647.783298598485,1000,True,False,False,True
34,data/raw/zurich_mav_sample/MAV_Images/00034.jpg,00034.jpg,8088181,0.3576222006231546,-0.8022782457992435,1.4139999999999873,47.3843499,8.5451832,466.324,ok,,1920,1080,114.0608984375,63.00788378130689,644.8799358990311,1000,True,False,False,True
35,data/raw/zurich_mav_sample/MAV_Images/00035.jpg,00035.jpg,8121514,0.3576222006231546,-0.8022782457992435,1.4139999999999873,47.3843499,8.5451832,466.324,ok,,1920,1080,114.19738233024691,63.013583700676215,669.7716476385446,1000,True,False,False,True
36,data/raw/zurich_mav_sample/MAV_Images/00036.jpg,00036.jpg,8154847,0.3576222006231546,-0.8022782457992435,1.4139999999999873,47.3843499,8.5451832,466.324,ok,,1920,1080,113.90034963348765,62.860264268867255,628.5155020214721,1000,True,False,False,True
37,data/raw/zurich_mav_sample/MAV_Images/00037.jpg,00037.jpg,8197070,0.4332954380661249,-0.7693791054189205,1.5909999999999511,47.3843502,8.5451842,466.501,ok,,1920,1080,112.86895399305556,62.59784397168298,602.2890498899633,1000,True,False,False,True
38,data/raw/zurich_mav_sample/MAV_Images/00038.jpg,00038.jpg,8230403,0.4332954380661249,-0.7693791054189205,1.5909999999999511,47.3843502,8.5451842,466.501,ok,,1920,1080,112.85892554012345,62.57461745327926,612.5329062117088,1000,True,False,False,True
39,data/raw/zurich_mav_sample/MAV_Images/00039.jpg,00039.jpg,8263736,0.4332954380661249,-0.7693791054189205,1.5909999999999511,47.3843502,8.5451842,466.501,ok,,1920,1080,112.70664255401235,62.33586577171439,571.4010457236616,1000,True,False,False,True
40,data/raw/zurich_mav_sample/MAV_Images/00040.jpg,00040.jpg,8297069,0.4332954380661249,-0.7693791054189205,1.5909999999999511,47.3843502,8.5451842,466.501,ok,,1920,1080,112.8617790316358,62.16992080772958,501.97842627770825,1000,True,False,False,True
41,data/raw/zurich_mav_sample/MAV_Images/00041.jpg,00041.jpg,8330402,0.4332954380661249,-0.7693791054189205,1.5909999999999511,47.3843502,8.5451842,466.501,ok,,1920,1080,112.98493200231482,62.51599743645409,656.9248067022907,1000,True,False,False,True
42,data/raw/zurich_mav_sample/MAV_Images/00042.jpg,00042.jpg,8363735,0.4332954380661249,-0.7693791054189205,1.5909999999999511,47.3843502,8.5451842,466.501,ok,,1920,1080,113.16071325231482,62.45234292805565,570.8146368799008,1000,True,False,False,True
43,data/raw/zurich_mav_sample/MAV_Images/00043.jpg,00043.jpg,8395950,0.4179400550201535,-0.8137443503364921,1.9839999999999804,47.3843498,8.545184,466.894,ok,,1920,1080,113.15567901234567,62.610651649714576,686.5358886014436,1000,True,False,False,True
44,data/raw/zurich_mav_sample/MAV_Images/00044.jpg,00044.jpg,8429283,0.4179400550201535,-0.8137443503364921,1.9839999999999804,47.3843498,8.545184,466.894,ok,,1920,1080,113.35024594907408,62.15456032854488,554.467313039269,1000,True,False,False,True
45,data/raw/zurich_mav_sample/MAV_Images/00045.jpg,00045.jpg,8462616,0.4179400550201535,-0.8137443503364921,1.9839999999999804,47.3843498,8.545184,466.894,ok,,1920,1080,113.26809220679013,62.41670933640298,648.8361596475904,1000,True,False,False,True
46,data/raw/zurich_mav_sample/MAV_Images/00046.jpg,00046.jpg,8495949,0.4179400550201535,-0.8137443503364921,1.9839999999999804,47.3843498,8.545184,466.894,ok,,1920,1080,113.37190634645061,62.557535632964516,591.1555405953559,1000,True,False,False,True
47,data/raw/zurich_mav_sample/MAV_Images/00047.jpg,00047.jpg,8529282,0.4179400550201535,-0.8137443503364921,1.9839999999999804,47.3843498,8.545184,466.894,ok,,1920,1080,113.33938802083334,62.64226498732919,660.0186034273231,1000,True,False,False,True
48,data/raw/zurich_mav_sample/MAV_Images/00048.jpg,00048.jpg,8562615,0.4179400550201535,-0.8137443503364921,1.9839999999999804,47.3843498,8.545184,466.894,ok,,1920,1080,113.33266203703704,62.5814037970411,601.5658212001132,1000,True,False,False,True
49,data/raw/zurich_mav_sample/MAV_Images/00049.jpg,00049.jpg,8598784,0.5463183777173981,-0.8033805740997195,2.22199999999998,47.3843499,8.5451857,467.132,ok,,1920,1080,113.2668007330247,62.8065368833357,709.6303593146437,1000,True,False,False,True
50,data/raw/zurich_mav_sample/MAV_Images/00050.jpg,00050.jpg,8632117,0.5463183777173981,-0.8033805740997195,2.22199999999998,47.3843499,8.5451857,467.132,ok,,1920,1080,113.36725453317901,62.981218044467845,783.6407709824712,1000,False,False,False,False
51,data/raw/zurich_mav_sample/MAV_Images/00051.jpg,00051.jpg,8665450,0.5463183777173981,-0.8033805740997195,2.22199999999998,47.3843499,8.5451857,467.132,ok,,1920,1080,113.30887393904321,63.015870538870786,780.0669342002212,1000,False,False,False,False
52,data/raw/zurich_mav_sample/MAV_Images/00052.jpg,00052.jpg,8698783,0.5463183777173981,-0.8033805740997195,2.22199999999998,47.3843499,8.5451857,467.132,ok,,1920,1080,112.74407889660493,63.11236211615851,908.6216300697511,1000,False,False,False,False
53,data/raw/zurich_mav_sample/MAV_Images/00053.jpg,00053.jpg,8732116,0.5463183777173981,-0.8033805740997195,2.22199999999998,47.3843499,8.5451857,467.132,ok,,1920,1080,112.96714891975309,63.24136735582907,925.9102946041627,1000,False,False,False,False
54,data/raw/zurich_mav_sample/MAV_Images/00054.jpg,00054.jpg,8765449,0.5463183777173981,-0.8033805740997195,2.22199999999998,47.3843499,8.5451857,467.132,ok,,1920,1080,113.1287143132716,63.379043651177824,991.8150554439815,1000,False,False,False,False
55,data/raw/zurich_mav_sample/MAV_Images/00055.jpg,00055.jpg,8802486,0.689597629068885,-0.8264450551941991,2.3249999999999886,47.3843497,8.5451876,467.235,ok,,1920,1080,113.14077980324075,63.430150156612136,1033.8610570746525,1000,False,False,False,False
56,data/raw/zurich_mav_sample/MAV_Images/00056.jpg,00056.jpg,8835819,0.689597629068885,-0.8264450551941991,2.3249999999999886,47.3843497,8.5451876,467.235,ok,,1920,1080,113.16426408179012,63.500972916112985,1073.2001860798496,1000,False,False,False,False
57,data/raw/zurich_mav_sample/MAV_Images/00057.jpg,00057.jpg,8869152,0.689597629068885,-0.8264450551941991,2.3249999999999886,47.3843497,8.5451876,467.235,ok,,1920,1080,113.15231963734568,63.564070154329784,1146.4165702852981,1000,False,False,False,False
58,data/raw/zurich_mav_sample/MAV_Images/00058.jpg,00058.jpg,8902485,0.689597629068885,-0.8264450551941991,2.3249999999999886,47.3843497,8.5451876,467.235,ok,,1920,1080,113.26823832947531,63.548306126044736,1115.2842929640224,1000,False,False,False,False
59,data/raw/zurich_mav_sample/MAV_Images/00059.jpg,00059.jpg,8935818,0.689597629068885,-0.8264450551941991,2.3249999999999886,47.3843497,8.5451876,467.235,ok,,1920,1080,113.1523476080247,63.54982433279795,1147.1323152180196,1000,False,False,False,False
60,data/raw/zurich_mav_sample/MAV_Images/00060.jpg,00060.jpg,8969151,0.689597629068885,-0.8264450551941991,2.3249999999999886,47.3843497,8.5451876,467.235,ok,,1920,1080,113.16769483024692,63.59008818794804,1168.375032171221,1000,False,False,False,False
61,data/raw/zurich_mav_sample/MAV_Images/00061.jpg,00061.jpg,9002265,0.8632630341453478,-0.8163458295166492,2.3549999999999613,47.3843498,8.5451899,467.265,ok,,1920,1080,113.21383777006173,63.51628437082397,1093.3825962585856,1000,False,False,False,False
62,data/raw/zurich_mav_sample/MAV_Images/00062.jpg,00062.jpg,9035598,0.8632630341453478,-0.8163458295166492,2.3549999999999613,47.3843498,8.5451899,467.265,ok,,1920,1080,113.19022231867284,63.48679872572666,1076.0308529781655,1000,False,False,False,False
63,data/raw/zurich_mav_sample/MAV_Images/00063.jpg,00063.jpg,9068931,0.8632630341453478,-0.8163458295166492,2.3549999999999613,47.3843498,8.5451899,467.265,ok,,1920,1080,113.05883294753086,63.56176398407787,1135.5264783688058,1000,False,False,False,False
64,data/raw/zurich_mav_sample/MAV_Images/00064.jpg,00064.jpg,9102264,0.8632630341453478,-0.8163458295166492,2.3549999999999613,47.3843498,8.5451899,467.265,ok,,1920,1080,113.03167824074075,63.44328059747971,1073.2970371542324,1000,False,False,False,False
65,data/raw/zurich_mav_sample/MAV_Images/00065.jpg,00065.jpg,9135597,0.8632630341453478,-0.8163458295166492,2.3549999999999613,47.3843498,8.5451899,467.265,ok,,1920,1080,112.96325761959876,63.38253686751693,1045.4437274979955,1000,False,False,False,False
66,data/raw/zurich_mav_sample/MAV_Images/00066.jpg,00066.jpg,9168930,0.8632630341453478,-0.8163458295166492,2.3549999999999613,47.3843498,8.5451899,467.265,ok,,1920,1080,112.94853539737655,63.32248004460062,998.5305756440753,1000,False,False,False,False
67,data/raw/zurich_mav_sample/MAV_Images/00067.jpg,00067.jpg,9199111,1.0139602916897277,-0.8616811111569405,2.4799999999999613,47.3843494,8.5451919,467.39,ok,,1920,1080,112.00265866126543,63.193825021166006,1084.1294106295124,1000,False,False,False,False
68,data/raw/zurich_mav_sample/MAV_Images/00068.jpg,00068.jpg,9232444,1.0139602916897277,-0.8616811111569405,2.4799999999999613,47.3843494,8.5451919,467.39,ok,,1920,1080,112.09524643132715,63.257291587739005,1076.4821031269057,1000,False,False,False,False
69,data/raw/zurich_mav_sample/MAV_Images/00069.jpg,00069.jpg,9265777,1.0139602916897277,-0.8616811111569405,2.4799999999999613,47.3843494,8.5451919,467.39,ok,,1920,1080,112.16865981867284,63.18313134044262,1018.1047887241169,1000,False,False,False,False
70,data/raw/zurich_mav_sample/MAV_Images/00070.jpg,00070.jpg,9299110,1.0139602916897277,-0.8616811111569405,2.4799999999999613,47.3843494,8.5451919,467.39,ok,,1920,1080,112.12695023148149,63.28652419003112,1101.0115628130143,1000,False,False,False,False
71,data/raw/zurich_mav_sample/MAV_Images/00071.jpg,00071.jpg,9332443,1.0139602916897277,-0.8616811111569405,2.4799999999999613,47.3843494,8.5451919,467.39,ok,,1920,1080,111.91977478780865,63.34734327078782,1161.1660020447528,1000,False,False,False,False
72,data/raw/zurich_mav_sample/MAV_Images/00072.jpg,00072.jpg,9365776,1.0139602916897277,-0.8616811111569405,2.4799999999999613,47.3843494,8.5451919,467.39,ok,,1920,1080,111.87838252314815,63.313214320000945,1118.2428600492021,1000,False,False,False,False
73,data/raw/zurich_mav_sample/MAV_Images/00073.jpg,00073.jpg,9400044,1.1042098528705535,-0.9177770083770156,2.576999999999998,47.3843489,8.5451931,467.487,ok,,1920,1080,111.80308690200617,63.3691291295692,1153.2658873814669,1000,False,False,False,False
74,data/raw/zurich_mav_sample/MAV_Images/00074.jpg,00074.jpg,9433377,1.1042098528705535,-0.9177770083770156,2.576999999999998,47.3843489,8.5451931,467.487,ok,,1920,1080,111.60269627700617,63.54184242054138,1312.8005613936612,1000,False,False,False,False
75,data/raw/zurich_mav_sample/MAV_Images/00075.jpg,00075.jpg,9466710,1.1042098528705535,-0.9177770083770156,2.576999999999998,47.3843489,8.5451931,467.487,ok,,1920,1080,111.44380208333334,63.58643883771662,1347.3279703595128,1000,False,False,False,False
76,data/raw/zurich_mav_sample/MAV_Images/00076.jpg,00076.jpg,9500043,1.1042098528705535,-0.9177770083770156,2.576999999999998,47.3843489,8.5451931,467.487,ok,,1920,1080,111.32039978780864,63.532876507467854,1265.7882386368367,1000,False,False,False,False
77,data/raw/zurich_mav_sample/MAV_Images/00077.jpg,00077.jpg,9533376,1.1042098528705535,-0.9177770083770156,2.576999999999998,47.3843489,8.5451931,467.487,ok,,1920,1080,111.17189187885802,63.60600094223273,1394.2428375698992,1000,False,False,False,False
78,data/raw/zurich_mav_sample/MAV_Images/00078.jpg,00078.jpg,9566709,1.1042098528705535,-0.9177770083770156,2.576999999999998,47.3843489,8.5451931,467.487,ok,,1920,1080,111.16130594135802,63.56451969787123,1356.137654077297,1000,False,False,False,False
79,data/raw/zurich_mav_sample/MAV_Images/00079.jpg,00079.jpg,9599660,1.0664056956884451,-0.9286699052900076,2.700999999999965,47.3843488,8.5451926,467.611,ok,,1920,1080,110.96841531635802,63.631475889361354,1457.5819149208946,1000,False,False,False,False
80,data/raw/zurich_mav_sample/MAV_Images/00080.jpg,00080.jpg,9632993,1.0664056956884451,-0.9286699052900076,2.700999999999965,47.3843488,8.5451926,467.611,ok,,1920,1080,110.9246768904321,63.57705502595493,1418.0591544551025,1000,False,False,False,False
81,data/raw/zurich_mav_sample/MAV_Images/00081.jpg,00081.jpg,9666326,1.0664056956884451,-0.9286699052900076,2.700999999999965,47.3843488,8.5451926,467.611,ok,,1920,1080,110.9208097029321,63.488242937877715,1338.9638372785985,1000,False,False,False,False
82,data/raw/zurich_mav_sample/MAV_Images/00082.jpg,00082.jpg,9699659,1.0664056956884451,-0.9286699052900076,2.700999999999965,47.3843488,8.5451926,467.611,ok,,1920,1080,110.40632571373457,63.37311155790656,1304.645196132961,1000,False,False,False,False
83,data/raw/zurich_mav_sample/MAV_Images/00083.jpg,00083.jpg,9732992,1.0664056956884451,-0.9286699052900076,2.700999999999965,47.3843488,8.5451926,467.611,ok,,1920,1080,110.54082609953704,63.35315440393376,1215.01225120124,1000,False,False,False,False
84,data/raw/zurich_mav_sample/MAV_Images/00084.jpg,00084.jpg,9766325,1.0664056956884451,-0.9286699052900076,2.700999999999965,47.3843488,8.5451926,467.611,ok,,1920,1080,110.67822916666667,63.223679748417915,1101.687569806356,1000,False,False,False,False
85,data/raw/zurich_mav_sample/MAV_Images/00085.jpg,00085.jpg,9801471,1.1043396947789006,-0.8955502929165959,2.8039999999999736,47.3843491,8.5451931,467.714,ok,,1920,1080,110.76315827546296,63.11494423357957,1008.462077252297,1000,False,False,False,False
86,data/raw/zurich_mav_sample/MAV_Images/00086.jpg,00086.jpg,9834804,1.1043396947789006,-0.8955502929165959,2.8039999999999736,47.3843491,8.5451931,467.714,ok,,1920,1080,110.90810908564815,63.06939917649027,979.0521768556677,1000,False,False,False,False
87,data/raw/zurich_mav_sample/MAV_Images/00087.jpg,00087.jpg,9868137,1.1043396947789006,-0.8955502929165959,2.8039999999999736,47.3843491,8.5451931,467.714,ok,,1920,1080,110.85858748070987,63.05935921508751,973.1674809759107,1000,False,False,False,False
